vleft [A/m2],vright [A/m2],freql,freqr
0.0,0.025025025025025027,0.0,0.8329877632150579
0.025025025025025027,0.05005005005005005,0.0,0.04672945533547422
0.05005005005005005,0.07507507507507508,0.0,0.026233695504030582
0.07507507507507508,0.1001001001001001,0.0,0.020550293340596545
0.1001001001001001,0.12512512512512514,0.0,0.01389339296641981
0.12512512512512514,0.15015015015015015,0.0,0.00976616936865008
0.15015015015015015,0.1751751751751752,0.0,0.0076109127768656665
0.1751751751751752,0.2002002002002002,0.0,0.006153803592681488
0.2002002002002002,0.22522522522522523,0.0,0.005149206518557416
0.22522522522522523,0.2502502502502503,0.0,0.004349252498844146
0.2502502502502503,0.2752752752752753,0.0,0.0037715314622437128
0.2752752752752753,0.3003003003003003,0.0,0.0033777074448548858
0.3003003003003003,0.3253253253253253,0.0,0.0029794474263707153
0.3253253253253253,0.3503503503503504,0.0,0.0027168825696799194
0.3503503503503504,0.3753753753753754,0.0,0.002397284550559287
0.3753753753753754,0.4004004004004004,0.0,0.0022546003758201157
0.4004004004004004,0.42542542542542544,0.0,0.0020393186318259588
0.42542542542542544,0.45045045045045046,0.0,0.0019164260049770317
0.45045045045045046,0.47547547547547553,0.0,0.0017914960860544744
0.47547547547547553,0.5005005005005005,0.0,0.0016526540835086893
0.5005005005005005,0.5255255255255256,0.0,0.0015672598381846225
0.5255255255255256,0.5505505505505506,0.0,0.00011144640873648558
0.5505505505505506,0.5755755755755756,0.0,0.0
0.5755755755755756,0.6006006006006006,0.0,0.0
0.6006006006006006,0.6256256256256256,0.0,0.0
0.6256256256256256,0.6506506506506506,0.0,0.0
0.6506506506506506,0.6756756756756758,0.0,0.0
0.6756756756756758,0.7007007007007008,0.0,0.0
0.7007007007007008,0.7257257257257258,0.0,0.0
0.7257257257257258,0.7507507507507508,0.0,0.0
0.7507507507507508,0.7757757757757758,0.0,0.0
0.7757757757757758,0.8008008008008008,0.0,0.0
0.8008008008008008,0.8258258258258259,0.0,0.0
0.8258258258258259,0.8508508508508509,0.0,0.0
0.8508508508508509,0.8758758758758759,0.0,0.0
0.8758758758758759,0.9009009009009009,0.0,0.0
0.9009009009009009,0.9259259259259259,0.0,0.0
0.9259259259259259,0.9509509509509511,0.0,0.0
0.9509509509509511,0.9759759759759761,0.0,0.0
0.9759759759759761,1.001001001001001,0.0,0.0
1.001001001001001,1.026026026026026,0.0,0.0
1.026026026026026,1.0510510510510511,0.0,0.0
1.0510510510510511,1.0760760760760761,0.0,0.0
1.0760760760760761,1.1011011011011012,0.0,0.0
1.1011011011011012,1.1261261261261262,0.0,0.0
1.1261261261261262,1.1511511511511512,0.0,0.0
1.1511511511511512,1.1761761761761762,0.0,0.0
1.1761761761761762,1.2012012012012012,0.0,0.0
1.2012012012012012,1.2262262262262262,0.0,0.0
1.2262262262262262,1.2512512512512513,0.0,0.0
1.2512512512512513,1.2762762762762763,0.0,0.0
1.2762762762762763,1.3013013013013013,0.0,0.0
1.3013013013013013,1.3263263263263263,0.0,0.0
1.3263263263263263,1.3513513513513515,0.0,0.0
1.3513513513513515,1.3763763763763766,0.0,0.0
1.3763763763763766,1.4014014014014016,0.0,0.0
1.4014014014014016,1.4264264264264266,0.0,0.0
1.4264264264264266,1.4514514514514516,0.0,0.0
1.4514514514514516,1.4764764764764766,0.0,0.0
1.4764764764764766,1.5015015015015016,0.0,0.0
1.5015015015015016,1.5265265265265267,0.0,0.0
1.5265265265265267,1.5515515515515517,0.0,0.0
1.5515515515515517,1.5765765765765767,0.0,0.0
1.5765765765765767,1.6016016016016017,0.0,0.0
1.6016016016016017,1.6266266266266267,0.0,0.0
